"projectID";"ai";"biodiversity";"cleanAir";"climate";"digitalAgenda"
"101095448";"40";"0";"0";"0";"100"
"101137592";"0";"0";"40";"100";"0"
"101121329";"40";"0";"0";"0";"0"
"101073929";"0";"0";"0";"0";"0"
"101096126";"0";"0";"0";"100";"0"
"101079951";"0";"0";"0";"100";"0"
"101172968";"40";"0";"40";"40";"40"
"101136140";"0";"0";"0";"100";"0"
"101095661";"100";"0";"0";"40";"100"
"101135763";"0";"0";"0";"100";"0"
"101147545";"0";"0";"40";"100";"40"
"101145644";"0";"0";"0";"0";"0"
"101177908";"40";"0";"0";"0";"40"
"101096368";"0";"0";"0";"40";"0"
"101117616";"0";"0";"0";"100";"0"
"101131085";"0";"0";"0";"0";"40"
"101075572";"0";"0";"0";"100";"0"
"101137244";"40";"0";"0";"0";"40"
"101075400";"0";"0";"0";"100";"0"
"101167839";"100";"0";"40";"40";"0"
"101188009";"40";"0";"0";"0";"100"
"101160724";"0";"0";"0";"100";"0"
"101130986";"40";"0";"0";"40";"40"
"101096921";"0";"0";"0";"40";"0"
"101122956";"100";"0";"0";"0";"100"
"101168521";"40";"0";"0";"0";"0"
"101138697";"0";"0";"40";"100";"0"
"101115188";"0";"0";"0";"0";"0"
"101096312";"0";"0";"0";"0";"0"
"101155852";"0";"0";"0";"0";"40"
"101136365";"40";"0";"0";"0";"100"
"101095433";"40";"0";"0";"0";"40"
"101103295";"0";"0";"0";"40";"0"
"101095619";"40";"0";"0";"0";"40"
"101080229";"40";"0";"0";"0";"40"
"101137057";"0";"0";"0";"0";"100"
"101156370";"40";"0";"0";"0";"0"
"101151854";"0";"0";"0";"0";"0"
"101057665";"0";"0";"0";"0";"0"
"101094664";"0";"40";"100";"100";"0"
"101094752";"40";"0";"0";"0";"40"
"101177963";"0";"0";"0";"0";"0"
"101095146";"40";"0";"0";"0";"0"
"101123321";"0";"0";"0";"100";"0"
"101132314";"0";"0";"0";"0";"0"
"101057400";"0";"0";"0";"0";"0"
"101132575";"40";"0";"0";"40";"40"
"101114686";"100";"0";"0";"0";"100"
"101137270";"0";"0";"0";"0";"40"
"101137758";"0";"0";"0";"100";"0"
"101158328";"40";"0";"0";"0";"100"
"101071830";"0";"0";"0";"0";"0"
"101124559";"0";"0";"0";"0";"0"
"101057557";"0";"0";"0";"40";"0"
"101131850";"40";"0";"40";"100";"40"
"101131701";"0";"0";"0";"0";"40"
"101215656";"0";"0";"0";"0";"0"
"101214009";"0";"0";"0";"100";"0"
"101122288";"0";"0";"0";"100";"0"
"101213069";"0";"40";"0";"100";"0"
"101214605";"0";"40";"0";"100";"0"
"101094394";"40";"0";"0";"40";"40"
"101060809";"0";"0";"0";"40";"0"
"101123330";"0";"0";"0";"100";"0"
"101132124";"0";"0";"0";"0";"0"
"101137170";"0";"0";"0";"0";"40"
"101134854";"0";"0";"0";"0";"0"
"101213148";"0";"40";"0";"100";"0"
"101136262";"40";"0";"0";"0";"100"
"101069604";"0";"0";"0";"0";"0"
"101114613";"0";"0";"100";"40";"40"
"101172838";"0";"0";"0";"100";"0"
"101094366";"0";"0";"0";"0";"0"
"101069702";"0";"0";"0";"100";"0"
"101214268";"0";"0";"40";"100";"0"
"101214894";"0";"0";"0";"100";"0"
"101213072";"0";"40";"0";"100";"0"
"101214288";"0";"0";"0";"100";"0"
"101132182";"0";"0";"0";"40";"40"
"101177314";"0";"0";"0";"0";"0"
"101095000";"0";"0";"0";"0";"0"
"101191315";"40";"0";"0";"0";"40"
"101147377";"0";"0";"40";"100";"100"
"101177427";"0";"0";"0";"0";"0"
"101161301";"0";"0";"0";"0";"0"
"101120853";"0";"0";"0";"0";"100"
"101177251";"40";"0";"0";"0";"40"
"101080934";"0";"0";"0";"0";"40"
"101132581";"0";"0";"0";"0";"40"
"101177821";"0";"0";"0";"40";"40"
"101156353";"0";"0";"40";"40";"0"
"101096490";"0";"0";"0";"100";"40"
"101132327";"0";"0";"0";"0";"0"
"101132538";"0";"0";"0";"100";"0"
"101177706";"0";"0";"0";"0";"0"
"101132582";"0";"0";"0";"40";"40"
"101137351";"0";"0";"0";"100";"0"
"101132385";"0";"0";"0";"40";"0"
"101075587";"0";"0";"0";"100";"0"
"101132559";"40";"40";"40";"100";"100"
"101136566";"0";"0";"0";"0";"0"
"101136318";"40";"0";"0";"0";"40"
"101147078";"0";"0";"0";"100";"0"
"101083899";"0";"0";"0";"100";"0"
"101084182";"0";"0";"0";"100";"0"
"101114795";"100";"0";"100";"100";"40"
"101147257";"0";"0";"0";"100";"0"
"101136000";"0";"0";"0";"100";"0"
"101121530";"40";"40";"100";"100";"100"
"101094250";"40";"40";"0";"0";"40"
"101056306";"0";"0";"0";"100";"0"
"101079043";"40";"0";"0";"0";"40"
"101057596";"0";"0";"0";"0";"0"
"101139652";"0";"40";"40";"100";"0"
"101157643";"40";"0";"0";"100";"0"
"101094758";"0";"0";"0";"0";"0"
"101178320";"0";"0";"0";"0";"40"
"101094796";"40";"0";"0";"0";"40"
"101075693";"0";"0";"0";"100";"0"
"101177191";"0";"0";"0";"0";"40"
"101177351";"0";"0";"0";"0";"0"
"101136380";"40";"0";"0";"0";"40"
"101132292";"0";"0";"0";"0";"40"
"101056836";"0";"0";"0";"100";"0"
"101121356";"40";"0";"0";"40";"40"
"101056920";"0";"0";"0";"100";"0"
"101056873";"0";"0";"0";"100";"0"
"101056858";"0";"0";"0";"100";"0"
"101081369";"0";"0";"0";"100";"0"
"101095353";"40";"0";"0";"0";"100"
"101058432";"0";"0";"0";"0";"0"
"101131237";"0";"0";"0";"0";"40"
"101123538";"0";"0";"0";"100";"0"
"101069880";"0";"0";"0";"40";"0"
"101081521";"0";"0";"0";"100";"0"
"101057764";"0";"0";"0";"40";"0"
"101073957";"0";"0";"0";"40";"40"
"101121325";"0";"0";"0";"0";"0"
"101177858";"0";"0";"0";"0";"0"
"101136516";"0";"0";"40";"40";"0"
"101132442";"40";"0";"0";"40";"40"
"101177543";"40";"0";"0";"0";"40"
"101131703";"0";"40";"0";"40";"40"
"101137169";"40";"0";"0";"0";"0"
"101177736";"0";"0";"0";"0";"0"
"101082176";"0";"0";"0";"100";"0"
"101081020";"40";"0";"0";"0";"40"
"101060918";"0";"0";"0";"0";"0"
"101081661";"0";"0";"0";"100";"0"
"101061256";"0";"0";"0";"0";"0"
"101061016";"0";"0";"0";"0";"0"
"101177268";"40";"0";"0";"40";"40"
"101131414";"0";"0";"0";"40";"0"
"101132163";"40";"0";"0";"0";"40"
"101137625";"0";"40";"0";"100";"0"
"101136128";"100";"0";"40";"40";"100"
"101083716";"0";"0";"0";"100";"0"
"101160665";"100";"0";"0";"100";"100"
"101075656";"40";"0";"0";"40";"40"
"101136195";"0";"0";"40";"100";"0"
"101096672";"0";"0";"0";"0";"40"
"101101461";"0";"0";"0";"100";"0"
"101084300";"0";"0";"0";"100";"0"
"101147509";"0";"0";"0";"100";"0"
"101192974";"0";"0";"0";"100";"0"
"101069672";"0";"0";"0";"100";"0"
"101147456";"0";"0";"40";"100";"0"
"101114738";"0";"0";"0";"0";"0"
"101081377";"0";"40";"0";"100";"100"
"101192169";"0";"0";"100";"100";"0"
"101095643";"0";"0";"0";"0";"0"
"101084200";"0";"0";"0";"100";"0"
"101095186";"0";"0";"0";"0";"0"
"101132531";"0";"0";"0";"0";"0"
"101155807";"40";"0";"0";"0";"40"
"101057131";"0";"0";"0";"40";"0"
"101168124";"40";"0";"0";"40";"40"
"101155881";"0";"0";"0";"0";"0"
"101172872";"100";"0";"0";"0";"40"
"101136424";"40";"0";"0";"0";"40"
"101137192";"40";"0";"0";"0";"40"
"101095106";"0";"0";"0";"0";"40"
"101061122";"0";"0";"0";"0";"0"
"101177574";"40";"0";"0";"0";"40"
"101177315";"0";"0";"0";"0";"0"
"101095175";"0";"0";"0";"0";"40"
"101057699";"0";"0";"0";"0";"0"
"101132662";"0";"0";"0";"0";"0"
"101094402";"0";"0";"0";"0";"40"
"101057390";"40";"0";"0";"0";"40"
"101136621";"0";"0";"0";"0";"0"
